AACR;9.938849;-84.117918;IGS08;1;San José Province; Costa Rica
AARS;50.963311;-355.163882;IGS08;1;Holsbeek; Belgium
AASI;68.719317;-52.793341;NA12;1;Aasiaat; Greenland
AAUC;57.013823;-350.012733;IGS08;1;Aalborg; Denmark
AB01;52.209505;-174.204757;NA12;1;Atka; USA
AB02;52.970606;-168.85467;NA12;1;Nikolski; USA
AB04;63.656865;-170.567443;NA12;1;Savoonga; USA
AB06;54.885323;-163.423454;NA12;1;False Pass; USA
AB07;55.349277;-160.476757;NA12;1;Sand Point; USA
AB08;60.384832;-166.200857;NA12;1;Mekoryuk; USA
AB09;65.614982;-168.062125;NA12;1;Wales; USA
AB11;64.564496;-165.373458;NA12;1;Nome; USA
AB12;58.950795;-161.746261;NA12;1;Platinum; USA
AB13;56.307326;-158.503794;NA12;1;Chignik Lagoon; USA
AB14;59.108166;-159.091531;NA12;1;Manokotak; USA
AB17;63.886359;-160.694731;NA12;1;Unalakleet; USA
AB18;66.858364;-162.613507;NA12;1;Kotzebue; USA
AB21;51.86415;-176.662647;NA12;1;Adak; USA
AB25;62.929311;-156.023391;NA12;1;Takotna; USA
AB27;67.055887;-156.904889;NA12;1;Bornite; USA
AB33;67.251013;-150.172544;NA12;1;Coldfoot; USA
AB36;65.030399;-150.743984;NA12;1;Manley Hot Springs; USA
AB37;62.967323;-145.451876;NA12;1;Paxson; USA
AB39;66.559346;-145.212631;NA12;1;Fort Yukon; USA
AB41;64.777326;-141.158066;NA12;1;Eagle Village; USA
AB44;59.528039;-135.228298;NA12;1;Dyea; USA
AB46;68.120672;-145.567901;NA12;1;Arctic Village; USA
AB48;56.245063;-134.646996;NA12;1;Port Alexander; USA
AB49;55.580102;-133.068487;NA12;1;Klawock; USA
AB50;58.416776;-134.545301;NA12;1;Mendenhall Valley; USA
AB51;56.797623;-132.91356;NA12;1;Petersburg; USA
ABAD;51.286704;-113.998173;NA12;1;Airdrie; Canada
ABAN;38.175064;-1.053674;IGS08;1;Mafraque; Spain
ABAR;-32.996049;-222.842736;IGS08;1;Iron Baron SA; Australia
ABAS;54.334357;-114.774189;NA12;1;Fort Assiniboine; Canada
ABAZ;56.467101;-111.19346;NA12;1;Gregoire Lake Estates; Canada
ABBI;57.332055;-111.742614;NA12;1;Bitumount; Canada
ABBR;53.24974;-114.979495;NA12;1;Drayton Valley; Canada
ABBY;49.072141;-122.197803;NA12;1;Abbotsford; Canada
ABCA;50.963824;-114.004159;NA12;1;Calgary; Canada
ABCC;4.661234;-74.126922;IGS08;1;Bogota; Colombia
ABCH;50.01553;-113.573265;NA12;1;Claresholm; Canada
ABCM;51.088558;-115.362898;NA12;1;Canmore; Canada
ABCN;51.191045;-114.471396;NA12;1;Cochrane; Canada
ABCO;51.189592;-114.469332;NA12;1;Cochrane; Canada
ABCR;53.023242;-112.822371;NA12;1;Camrose; Canada
ABD0;16.474301;-61.487955;NA12;1;Beaufond; Guadeloupe
ABE1;16.471982;-61.509335;NA12;1;Anse-Bertrand; Guadeloupe
ABED;57.134404;-2.15638;IGS08;1;Aberdeen; UK
ABEM;53.559812;-113.604183;NA12;1;Edmonton; Canada
ABEN;53.566953;-113.606239;NA12;1;Edmonton; Canada
ABEP;52.139422;-4.571309;IGS08;1;Parcllyn; UK
ABER;57.144007;-2.080222;IGS08;1;Aberdeen; UK
ABFM;56.71407;-111.346089;NA12;1;Fort McMurray; Canada
ABGP;55.151303;-118.83097;NA12;1;Grande Prairie; Canada
ABGS;0.220824;-260.612479;IGS08;1;Air Bangle; Indonesia
ABHR;50.58218;-113.873849;NA12;1;High River; Canada
ABHV;50.582264;-113.87381;NA12;1;High River; Canada
ABIU;46.077718;-336.433728;IGS08;1;Alba Iulia; Romania
ABL1;32.453689;-99.730451;NA12;1;Abilene; USA
ABLB;54.769562;-111.954855;NA12;1;Lac la Biche; Canada
ABLD;53.256631;-113.528242;NA12;1;Leduc; Canada
ABLT;49.706243;-112.835297;NA12;1;Lethbridge; Canada
ABMF;16.262305;-61.527537;NA12;1;Les Abymes; Guadeloupe
ABMH;50.021856;-110.69736;NA12;1;Medicine Hat; Canada
ABMK;57.171945;-111.599872;NA12;1;Fort Mackay; Canada
ABMN;51.663106;-112.768019;NA12;1;Morrin; Canada
ABMO;53.801423;-113.648351;NA12;1;Morinville; Canada
ABMR;51.662935;-112.768055;NA12;1;Morrin; Canada
ABNA;53.569464;-113.501594;NA12;1;Edmonton; Canada
ABNC;51.064077;-114.086979;NA12;1;Calgary; Canada
ABNY;-35.027147;-242.113435;IGS08;1;Albany WA; Australia
ABOK;50.726134;-113.981918;NA12;1;Okotoks; Canada
ABOL;51.791722;-114.105803;NA12;1;Olds; Canada
ABOO;8.99211;-322.190568;IGS08;1;Ketebe; Ethiopia
ABPD;4.476566;-74.098868;IGS08;1;Bogota; Colombia
ABPE;53.668041;-115.990952;NA12;1;Peers; Canada
ABPO;-19.018306;-312.770788;IGS08;1;Avironimamo; Madagascar
ABPR;56.22783;-117.340651;NA12;1;Peace River; Canada
ABPW;4.689569;-73.995115;IGS08;1;El Antojo; Colombia
ABQ5;34.957379;-106.494467;NA12;1;Kirtland Air Force Base; USA
ABQ6;34.957132;-106.494483;NA12;1;Kirtland Air Force Base; USA
ABR1;50.745823;-103.418706;NA12;1;Abernethy; Canada
ABRA;-22.722028;-65.697304;IGS08;1;Abra Pampa; Argentina
ABRD;52.271222;-113.817096;NA12;1;Red Deer; Canada
ABRH;52.371939;-114.909884;NA12;1;Rocky Mountain House; Canada
ABRK;31.120462;-306.773519;IGS08;1;Abarkooh; Iran
ABRO;52.370693;-114.907363;NA12;1;Rocky Mountain House; Canada
ABSE;51.043084;-113.395364;NA12;1;Strathmore; Canada
ABSL;52.327528;-112.713367;NA12;1;Stettler; Canada
ABSM;51.060934;-113.387269;NA12;1;Strathmore; Canada
ABSP;53.541837;-113.975772;NA12;1;Stony Plain; Canada
ABST;52.325424;-112.726553;NA12;1;Stettler; Canada
ABSW;53.560282;-113.317028;NA12;1;Sherwood Park; Canada
ABUZ;11.15174;-352.351313;IGS08;1;Zaria; Nigeria
ABVI;18.729684;-64.332485;NA12;1;The Settlement; British Virgin Islands
