"Fecha","Lon","Lat"
2015-08-24,-70.962792655119,-31.7770187136859
2015-08-25,-70.9627926439554,-31.7770187002746
2015-08-26,-70.9627926730315,-31.7770186971076
2015-08-27,-70.962792658673,-31.7770187013588
2015-08-28,-70.9627926834334,-31.7770187313343
2015-08-29,-70.9627926479542,-31.7770187250774
2015-08-30,-70.9627926693538,-31.7770187370923
2015-08-31,-70.9627926367989,-31.7770187291929
2015-09-01,-70.9627926595026,-31.7770187230256
2015-09-02,-70.9627926701998,-31.777018710431
2015-09-03,-70.9627926391354,-31.777018705775
2015-09-04,-70.9627926422482,-31.7770187094092
2015-09-05,-70.9627926340442,-31.7770187142348
2015-09-06,-70.9627926399991,-31.7770187037563
2015-09-07,-70.9627926571167,-31.7770186982376
2015-09-08,-70.9627926800073,-31.777018707615
2015-09-09,-70.9627926392632,-31.7770187026705
2015-09-10,-70.962792618029,-31.7770187112284
2015-09-11,-70.9627926318461,-31.7770187053555
2015-09-12,-70.9627926499883,-31.7770187209704
2015-09-13,-70.9627926269577,-31.7770186988325
2015-09-14,-70.9627926550722,-31.7770186927492
2015-09-15,-70.9627926350707,-31.7770186848026
2015-09-16,-70.9627926519895,-31.7770186907052
2015-09-17,-70.9627968655724,-31.777017578158
2015-09-18,-70.9627970169489,-31.7770175315801
2015-09-19,-70.9627971097966,-31.7770175280901
2015-09-20,-70.9627971288121,-31.7770175392291
2015-09-21,-70.9627972036675,-31.7770175220192
2015-09-22,-70.9627973078114,-31.7770175263797
2015-09-23,-70.962797324628,-31.7770175210975
2015-09-24,-70.9627973591864,-31.7770175437492
2015-09-25,-70.9627973594694,-31.7770175449215
2015-09-26,-70.9627973837357,-31.7770175619916
2015-09-27,-70.9627974325871,-31.777017555641
2015-09-28,-70.9627973856738,-31.7770175592733
2015-09-29,-70.9627974096387,-31.7770175551186
2015-09-30,-70.9627974500398,-31.7770175513172
2015-10-01,-70.9627974936187,-31.7770175073469
2015-10-02,-70.9627974964329,-31.7770175352544
2015-10-03,-70.9627974963426,-31.7770175187716
2015-10-04,-70.9627974930153,-31.7770175101932
2015-10-05,-70.9627974985405,-31.7770175165383
2015-10-06,-70.9627975211348,-31.7770175362583
