"Fecha","Lon","Lat"
2014-04-25,-70.3420898750493,-18.3708236630745
2014-04-26,-70.3420898895831,-18.3708237063715
2014-04-27,-70.3420898914237,-18.3708236433737
2014-04-28,-70.3420899047957,-18.3708236624988
2014-04-29,-70.3420898720639,-18.3708236422375
2014-04-30,-70.3420899231182,-18.3708236426712
2014-05-01,-70.342089918998,-18.3708236572051
2014-05-02,-70.3420899127323,-18.370823657552
2014-05-03,-70.3420898988291,-18.3708236560721
2014-05-04,-70.34208994135,-18.3708236688751
2014-05-05,-70.3420899351054,-18.370823654436
2014-05-06,-70.3420899240337,-18.3708236722051
2014-05-07,-70.3420899288746,-18.3708236485618
2014-05-08,-70.3420899426353,-18.3708236537158
2014-05-09,-70.3420899153023,-18.370823638994
2014-05-10,-70.3420899058575,-18.3708236637488
2014-05-11,-70.3420899243176,-18.3708236702867
2014-05-12,-70.3420898965928,-18.3708236704149
2014-05-13,-70.342089871187,-18.3708236672593
2014-05-14,-70.3420899151249,-18.3708236689412
2014-05-15,-70.3420899141618,-18.3708236668817
2014-05-16,-70.3420899084336,-18.3708236939458
2014-05-17,-70.3420899155256,-18.3708236732058
2014-05-18,-70.3420898927062,-18.3708236883754
2014-05-19,-70.3420899047987,-18.3708236879828
2014-05-20,-70.342089916422,-18.3708236868693
2014-05-21,-70.3420899189229,-18.3708236946593
2014-05-22,-70.3420898943528,-18.370823675107
2014-05-23,-70.3420899254852,-18.3708236862486
2014-05-24,-70.342089922901,-18.3708236776768
2014-05-25,-70.3420898957876,-18.3708236795955
2014-05-26,-70.3420899259969,-18.3708236710392
2014-05-27,-70.3420899136182,-18.3708236685266
2014-05-28,-70.3420899119249,-18.3708236597663
2014-05-29,-70.3420899184578,-18.3708236619869
2014-05-30,-70.3420899057133,-18.3708236818773
2014-05-31,-70.3420899356175,-18.3708236726093
2014-06-01,-70.3420899305548,-18.3708236829487
2014-06-02,-70.342089940436,-18.370823691819
2014-06-03,-70.3420899424838,-18.3708236849997
2014-06-04,-70.3420899347699,-18.3708236970127
2014-06-05,-70.3420899327083,-18.3708236898868
2014-06-06,-70.3420899068486,-18.3708236849588
2014-06-07,-70.3420899166659,-18.3708236919998
2014-06-08,-70.3420899291872,-18.3708236984888
2014-06-09,-70.3420899189792,-18.3708236679613
2014-06-10,-70.3420899241524,-18.3708236986048
2014-06-11,-70.3420899308548,-18.3708237115518
2014-06-12,-70.3420899442595,-18.3708237047425
2014-06-13,-70.342089919147,-18.3708236958474
2014-06-14,-70.3420899241221,-18.3708236838001
2014-06-15,-70.3420899063112,-18.3708237223304
2014-06-16,-70.3420899360343,-18.3708237047003
2014-06-17,-70.3420899251299,-18.3708237207341
2014-06-18,-70.3420899461805,-18.3708236938959
2014-06-19,-70.3420899240152,-18.3708236972609
2014-06-20,-70.3420899364965,-18.3708237006629
2014-06-21,-70.3420899191888,-18.3708236997142
2014-06-22,-70.3420899030286,-18.3708237052436
2014-06-23,-70.3420899479473,-18.3708236901751
2014-06-24,-70.3420899417168,-18.3708237089046
2014-06-25,-70.3420899665822,-18.3708236927404
2014-06-26,-70.3420899682733,-18.3708236796464
2014-06-27,-70.3420899288256,-18.3708237136984
2014-06-28,-70.3420899152329,-18.3708237114396
2014-06-29,-70.3420899101401,-18.3708237035125
2014-06-30,-70.3420899707077,-18.3708237005295
2014-07-01,-70.3420899581284,-18.3708237092692
2014-07-02,-70.3420899782225,-18.3708236994581
2014-07-03,-70.3420899675486,-18.3708236829598
2014-07-04,-70.3420899618179,-18.370823726278
2014-07-05,-70.3420899481113,-18.3708237303835
2014-07-06,-70.3420899829112,-18.3708237367397
2014-07-07,-70.3420899672674,-18.3708237259506
2014-07-08,-70.3420899841373,-18.3708237340156
2014-07-09,-70.3420899624142,-18.370823726715
2014-07-10,-70.3420899773144,-18.3708237046429
2014-07-11,-70.3420899724517,-18.370823696137
2014-07-12,-70.3420899691368,-18.3708237059547
2014-07-13,-70.3420899766283,-18.3708237182616
2014-07-14,-70.3420899846961,-18.3708237076847
2014-07-15,-70.3420899668258,-18.3708237293136
2014-07-16,-70.3420899729563,-18.370823726229
2014-07-17,-70.3420899650603,-18.370823718651
2014-07-18,-70.3420899709084,-18.3708236954494
2014-07-19,-70.3420899574157,-18.3708237292886
2014-07-20,-70.3420899954402,-18.370823715516
2014-07-21,-70.3420899953905,-18.3708237243972
2014-07-22,-70.3420899893349,-18.3708237142168
2014-07-23,-70.3420899893002,-18.3708237220076
2014-07-24,-70.3420899829253,-18.3708237181741
2014-07-25,-70.3420900149621,-18.3708237357259
2014-07-26,-70.3420899706774,-18.3708237324813
2014-07-27,-70.3420899581173,-18.3708237394765
2014-07-28,-70.3420899645544,-18.3708237263566
2014-07-29,-70.3420899690363,-18.3708237103156
2014-07-30,-70.3420900065487,-18.3708237506271
2014-07-31,-70.3420899560211,-18.3708236878721
2014-08-01,-70.342089979679,-18.3708237225894
2014-08-02,-70.3420899553991,-18.3708237088929
2014-08-03,-70.342089969198,-18.3708237436048
2014-08-04,-70.342089957614,-18.370823739199
2014-08-05,-70.3420899685274,-18.3708237367119
2014-08-06,-70.3420899844631,-18.3708237041802
2014-08-07,-70.3420899833019,-18.3708237081591
2014-08-08,-70.3420899837204,-18.3708237445666
2014-08-09,-70.3420899702755,-18.3708237358325
2014-08-10,-70.3420899596209,-18.3708237446895
2014-08-11,-70.3420899746894,-18.3708237337439
2014-08-12,-70.3420899686407,-18.370823736607
2014-08-13,-70.3420899509151,-18.3708237362749
2014-08-14,-70.3420899326406,-18.3708237197496
