"Fecha","Lon","Lat"
2014-02-11,-70.2738115672253,-28.8362645400889
2014-02-12,-70.2738116299769,-28.8362645291189
2014-02-13,-70.2738115579856,-28.8362645091875
2014-02-14,-70.273811574909,-28.8362645521298
2014-02-15,-70.2738115774041,-28.8362644804796
2014-02-16,-70.2738115877295,-28.8362645383917
2014-02-17,-70.2738115745861,-28.8362645623801
2014-02-18,-70.2738115261845,-28.8362645324449
2014-02-19,-70.2738115590751,-28.8362645288966
2014-02-20,-70.2738115607524,-28.8362644936305
2014-02-21,-70.273811639721,-28.8362645393687
2014-02-22,-70.2738115832455,-28.8362645340866
2014-02-23,-70.2738115136557,-28.8362645112115
2014-02-24,-70.2738115951292,-28.8362645129085
2014-02-25,-70.2738116020339,-28.8362645441449
2014-02-26,-70.2738115449786,-28.8362644853187
2014-02-27,-70.2738115150789,-28.83626459859
2014-02-28,-70.2738115666012,-28.8362645435436
2014-03-01,-70.2738116131413,-28.8362645173345
2014-03-02,-70.2738116074881,-28.8362645580673
2014-03-03,-70.2738116054516,-28.8362645079291
2014-03-04,-70.2738115766054,-28.8362645170731
2014-03-05,-70.2738115641466,-28.8362645530289
2014-03-06,-70.2738115327196,-28.8362645430946
2014-03-07,-70.2738115967901,-28.836264532883
2014-03-08,NA,NA
2014-03-09,NA,NA
2014-03-10,-70.2738115757557,-28.8362645837536
2014-03-11,NA,NA
2014-03-12,-70.2738115524344,-28.8362645474436
2014-03-13,NA,NA
2014-03-14,-70.2738114727306,-28.836264540409
2014-03-15,-70.2738116115895,-28.8362645306047
2014-03-16,-70.2738114736387,-28.836264512585
2014-03-17,-70.2738115983626,-28.8362645196068
2014-03-18,-70.2738114804663,-28.8362645080204
2014-03-19,-70.2738115378172,-28.8362645565423
2014-03-20,-70.2738115359647,-28.8362645650742
2014-03-21,-70.2738115206232,-28.8362645262617
2014-03-22,-70.2738115151083,-28.8362645268845
2014-03-23,-70.2738115550384,-28.8362645613476
2014-03-24,-70.2738115282843,-28.836264516497
2014-03-25,-70.273811520944,-28.8362645341166
2014-03-26,-70.2738115516732,-28.8362645433266
2014-03-27,-70.2738115304751,-28.8362645194723
2014-03-28,-70.2738115078509,-28.8362645380665
2014-03-29,-70.2738115220287,-28.8362645177384
2014-03-30,-70.2738115986166,-28.8362645480495
2014-03-31,-70.2738115343323,-28.8362644337007
2014-04-01,-70.2738115571847,-28.8362645180027
2014-04-02,-70.2738115190471,-28.8362645063022
2014-04-03,-70.2738115097316,-28.8362645028512
2014-04-04,-70.2738116536707,-28.8362645152224
2014-04-05,-70.2738115520737,-28.8362645061363
2014-04-06,-70.2738115515777,-28.83626449006
2014-04-07,-70.2738115317954,-28.8362645278148
2014-04-08,-70.2738115195817,-28.8362645302998
2014-04-09,-70.2738115330915,-28.8362645143956
2014-04-10,-70.2738115651885,-28.8362645004507
2014-04-11,-70.2738115084524,-28.8362645332542
2014-04-12,-70.2738115430592,-28.8362644821803
2014-04-13,-70.2738115373192,-28.8362644983491
2014-04-14,-70.2738115162455,-28.8362645199978
2014-04-15,-70.2738115035795,-28.8362645033502
2014-04-16,-70.2738115371576,-28.8362645209276
2014-04-17,-70.2738115152618,-28.8362645112869
2014-04-18,-70.2738115150671,-28.8362645042849
2014-04-19,-70.2738115185106,-28.8362645282569
2014-04-20,-70.2738114932161,-28.8362644849044
2014-04-21,-70.2738115312202,-28.8362645233612
2014-04-22,-70.273811510647,-28.8362644990255
2014-04-23,-70.2738114951403,-28.8362645196313
2014-04-24,-70.273811521447,-28.8362645153451
2014-04-25,-70.2738114813625,-28.8362644975343
2014-04-26,-70.2738115067745,-28.8362645484205
2014-04-27,-70.2738115093913,-28.8362644893871
2014-04-28,-70.2738115499399,-28.8362645060018
2014-04-29,-70.2738115143204,-28.8362644739556
2014-04-30,-70.2738115111763,-28.8362644912213
2014-05-01,-70.273811543697,-28.8362645014283
2014-05-02,-70.273811531244,-28.8362644998886
2014-05-03,-70.273811501959,-28.8362644768807
2014-05-04,-70.273811541629,-28.836264501546
2014-05-05,-70.2738115347869,-28.8362644846153
2014-05-06,-70.27381152596,-28.8362644985956
2014-05-07,-70.2738115418514,-28.8362644676346
2014-05-08,-70.2738115445571,-28.8362644810733
2014-05-09,-70.2738114992624,-28.8362644630506
2014-05-10,-70.2738114960105,-28.8362644813278
2014-05-11,-70.2738115270397,-28.8362644931975
2014-05-12,-70.2738114525419,-28.8362645033309
2014-05-13,-70.2738114646217,-28.8362644860366
2014-05-14,-70.273811477424,-28.836264486943
2014-05-15,-70.2738114821941,-28.8362644862844
2014-05-16,-70.2738114875574,-28.8362645142027
2014-05-17,-70.2738114934133,-28.8362644922823
2014-05-18,-70.2738114753168,-28.8362644954311
2014-05-19,-70.273811498554,-28.836264481583
2014-05-20,-70.2738115021349,-28.8362644899803
2014-05-21,-70.2738115141271,-28.836264492165
2014-05-22,-70.2738114707104,-28.8362644966577
2014-05-23,-70.2738114427435,-28.8362645048212
2014-05-24,-70.2738114984922,-28.8362644727346
2014-05-25,-70.2738114596731,-28.8362644763507
2014-05-26,-70.2738114926681,-28.8362644755454
2014-05-27,-70.2738114627982,-28.8362644778181
2014-05-28,-70.2738114883532,-28.8362644361148
2014-05-29,-70.2738115057126,-28.8362644605334
2014-05-30,-70.2738114723533,-28.8362644885085
2014-05-31,-70.273811492799,-28.8362644560095
2014-06-01,-70.2738114709722,-28.8362644738176
2014-06-02,-70.2738114905197,-28.836264485003
2014-06-03,-70.2738115186571,-28.8362644653541
2014-06-04,-70.273811513428,-28.8362644883149
